,x,y,z,Vx,Vy,Vz
307,325.63873,-1277.4556100000002,45.3945,8.454,3.775,-12.816
308,325.65437,-1238.99873,41.4755,66.228,47.054,5.349
309,325.68584000000004,-1253.04184,43.2945,61.258,50.767,-2.032
310,325.6859,-1243.32042,42.04750000000001,69.327,50.987,-0.459
311,325.75311,-1273.01429,45.21125,27.975,14.189,-9.871
312,325.77281,-1246.14705,42.6,70.811,52.372,-2.894
313,325.80920000000003,-1258.0468799999999,43.802749999999996,53.503,41.359,-2.917
314,325.84954999999997,-1264.68784,44.6105,50.093,39.177,-8.168
315,325.91422,-1267.012,44.80924999999999,45.763,32.903,-8.534
316,325.95635999999996,-1263.4123100000002,44.39825,51.791,40.909,-6.134
317,326.00654,-1256.74165,43.76975,55.369,44.148,-5.965
318,326.03263,-1278.94372,45.556999999999995,0.0,-0.0,-16.623
319,326.10303999999996,-1259.7626200000002,43.807249999999996,52.529,39.978,-0.829
320,326.14439,-1250.57158,42.90675,66.666,52.419,0.541
321,326.16028,-1251.70124,43.071,64.502,52.182,-0.69
322,326.16907000000003,-1239.64827,41.61575,67.325,47.989,2.936
323,326.23237,-1277.98856,45.425,9.115,3.886,-13.826
324,326.23775,-1265.76249,44.75,49.834,37.309,-10.935
325,326.25781,-1268.29989,44.8515,43.882,28.615,-8.297
326,326.35222999999996,-1255.4463,43.670249999999996,57.733,46.917,-7.227
327,326.43210999999997,-1277.0333899999998,45.3175,15.359,7.48,-11.198
328,326.45394,-1262.25368,44.103750000000005,53.266,40.973,-3.308
329,326.53281,-1247.5589,42.673500000000004,70.977,53.201,-2.499
330,326.53713,-1241.3484799999999,41.9,68.296,49.739,-0.746
331,326.56812,-1261.23627,43.8875,53.275,40.248,-0.687
332,326.58590999999996,-1245.23902,42.33625,70.47,52.684,-2.084
333,326.62662,-1271.1426299999998,45.0085,37.873,20.65,-9.309
334,326.66308000000004,-1275.62422,45.257,22.767,11.668,-10.859
335,326.67543,-1273.52639,45.14975,30.8,15.947,-10.561
336,326.68378,-1240.29781,41.7705,67.93,49.045,-0.004
337,326.69295,-1269.96449,44.95325,41.351,23.907,-8.786
338,326.81316999999996,-1239.1826,41.62425,67.735,48.75,1.213
339,326.94256,-1238.06739,41.5005,67.657,49.373,0.573
340,327.01048,-1258.67956,43.554,54.572,39.961,0.737
341,327.07093,-1257.21393,43.59225,55.847,42.506,-3.635
342,327.07156,-1243.3493,41.929,69.602,51.531,0.462
343,327.07921000000005,-1266.8221,44.7525,51.213,35.451,-12.789
344,327.10552,-1254.55123,43.45975,60.04,49.142,-6.304
345,327.13162,-1263.69757,44.2245,54.846,41.631,-6.605
346,327.13974,-1259.84852,43.528,54.291,39.53,3.283
347,327.17525,-1252.8878200000001,43.2,63.319,52.355,-3.256
348,327.21128000000004,-1249.04735,42.669000000000004,70.181,53.791,-1.219
349,327.21990999999997,-1280.00962,45.56,-0.0,0.0,-18.119
350,327.25039000000004,-1250.66958,42.8365,67.617,53.618,-1.081
351,327.28451,-1268.10702,44.7515,48.784,31.334,-10.488
352,327.31976000000003,-1274.49389,45.14475,30.43,16.33,-10.864
353,327.36151,-1255.97827,43.54775,58.049,45.738,-6.977
354,327.37039,-1272.38791,44.9995,37.717,20.343,-9.649
355,327.40734000000003,-1246.55987,42.4815,71.866,53.683,-3.192
356,327.41965000000005,-1279.05446,45.396499999999996,9.776,4.527,-15.419
357,327.4448,-1265.0961100000002,44.612,55.019,40.475,-12.787
358,327.45913,-1248.14082,42.577749999999995,71.602,54.068,-2.425
359,327.46055,-1251.48281,42.937000000000005,66.333,53.662,-1.779
360,327.51565000000005,-1269.28588,44.82,46.632,27.773,-9.327
361,327.53914000000003,-1242.285,41.888999999999996,69.449,51.167,-0.769
362,327.57144,-1270.46119,44.88399999999999,43.748,24.814,-8.867
363,327.59888,-1241.0421999999999,41.8785,68.972,50.066,-2.989
364,327.60869,-1263.03017,43.91475,55.971,41.806,-0.523
365,327.61939,-1278.09929,45.275749999999995,16.741,8.781,-11.48
366,327.66027,-1273.27675,44.994,36.197,19.758,-9.355
367,327.68367,-1261.05184,43.505500000000005,55.196,39.947,3.839
368,327.76419,-1252.59078,43.071,64.585,53.128,-2.872
369,327.86836999999997,-1245.4117099999999,42.146499999999996,72.286,53.271,-1.489
370,327.98461,-1239.55054,41.746,69.039,49.528,-4.06
